rawContent,Note
"Also after...
Thoughts 

*will my breath smell like this forever?*

*my throat is so dry. I’m probably dying of dehydration. Wait!*

*Am I high?* 

*wooooooooow*",
"If you have any of these symptoms, however mild, get tested:
🔸Fever, chills or sweats
🔸Cough
🔸Sore throat
🔸Shortness of breath
🔸Runny nose
🔸Loss of sense of smell or taste
Find out where to get tested at ➡️ https://t.co/eC2Bhiz1C2 https://t.co/q96Jamhfst",
I real life can’t breath smell or even taste Shìt my throat hurt so bad and my body in pain .... plz don’t be COVID ... again 🤦🏽‍♀️,
"@pappinworld @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@pappinworld @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@poundingsalt @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@garydouglas74 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@ardelhogryder @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@SNM1872 @_LoveMTB_ @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@_LoveMTB_ @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@CanadaFirstNews @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@RondaReid15 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@LecompteMel @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@MichelleSigurd1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Derek01954639 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@marymatters21 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Caring_Canuck @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@bob91677595 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@melissalisssa @KCtheSunshineB2 @DerekSloanCPC @Roman_Baber @randyhillier have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@pmishkin12 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@whirlwinde34 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@eieioink @DerekSloanCPC @mayoushtak have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@WatchYourFront_ @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Tony48Tiger @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@c_hopp2014 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@BetelgueseRules @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@jsey9797 @DerekSloanCPC @mayoushtak have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@ShapiroSucks @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@oneilllacrosse @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@BilauMac @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@leighgt @GallantJeffry @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@GallantJeffry @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@JosiahDGreen @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@DanSummersAB2 @KnightTrad @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@KnightTrad @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@kelly_slepmen @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@pg21stcentury @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@AGENTW15 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@judy_copithorne @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@dogmaclement @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@beandip2020 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@2Beer1Mouth @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@RaidersRay313 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@WhatsUp_Canada @BluecollarMed @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@BluecollarMed @DerekSloanCPC @WhatsUp_Canada have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@M_R_Fraser @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@bruce_mcgonigal @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@GregIrving61 @subvoyeur @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@subvoyeur @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@ColinFa96922713 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@CdnDutch @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Henry00603741 @DerekSloanCPC @kinsellawarren have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Shera75209339 @FredFredderson1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@FredFredderson1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@mur1701 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@theirishking @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Paula18350050 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@MichelleSigurd1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@teammoderna1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Peorhum @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@IBAConservative @KeepFree6 @DerekSloanCPC @TheTorontoSun have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@KeepFree6 @DerekSloanCPC @TheTorontoSun have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@CanadianMikePPC @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@bandit_tuco @OutlawChef2 @DerekSloanCPC @kinsellawarren have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@OutlawChef2 @DerekSloanCPC @kinsellawarren have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Mackensmi @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Paulysworld @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@DrTed77 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@threepeaks74 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@SevereAlcoholic @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Manuel63541417 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@BarryDutton @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@blazzers781 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@jimmhillis57 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@samwitwicki4 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@tunnellvision2 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@AndersonBooz @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@GregIrving61 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Puck2daHead2 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@NeveuxVeronica @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@BrodiePat1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Jjwoodcock1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@UnfilteredSage @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@realop60 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@kitzfuhel @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@KeepYerHeadOn @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@civanowich @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@danwalshbeard @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@babcia54 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@SquirlyGirll @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@IsabellaBardoel @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@adam_dissident @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@ainsofar @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@DaddoElBeardo @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@VegTBone @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@ElliAdventurer @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@JohmMcguigan @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@colinsusan1 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@alisylean @DerekSloanCPC @CurtOya19 have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@DoktedFlinflon @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Corporal_Dan83 @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@jasie3_siemens @DerekSloanCPC @erinotoole have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
"@Tsiehta @DerekSloanCPC have no fear of Covid. Am 79. Feb I had loss of taste smell and apatite then extreme shortness of breath (been taking Selenium and 5000IU D3 for years) I took glass of Tonic Water (quinine) and 50mg Zinc shortness of breath disappeared immediately.
Honey and Barry assassinated ?",
